,pretty_formula,crystal_system,spacegroup,experimentally_observed,"energy_above_hull, eV/atom",Ef,total_atoms,Gf_400,Gf_500,Gf_600,Gf_700,Gf_800,Gf_900,Gf_1000,Gf_1100,Gf_1200,Gf_1300,Gf_1400,Gf_1500,Gf_1600,Gf_1700,Gf_1800,Gf_1900,Gf_2000
mp-1218773,Sr2SnS5,Orthorhombic,P2_12_12,False,0.0,-1.4229667733203133,8.0,-11.256596428724233,-11.19158515957435,-11.114181832431854,-11.031318186160616,-10.940382055964356,-10.783332098349932,-10.361923470966161,-9.928557909718952,-9.481102366245556,-9.026261682505575,-8.563824414438491,-8.09369768320493,-7.6158839388038295,-7.109873707591806,-6.449851608078308,-5.784556889810016,-5.113997064027448
mp-1190981,Sr2ZnS3,Orthorhombic,Pnma,True,0.040342723452381435,-1.8967359998586322,6.0,-11.232879086343756,-11.176389033433214,-11.122759935214464,-11.065523238215043,-10.992112470545269,-10.876680202343483,-10.600726250050684,-10.312741426919304,-9.992207202831086,-9.582986095352021,-9.167680701931094,-8.746257508953624,-8.318749835496261,-7.864660402983457,-7.258176283889318,-6.648024273771522,-6.034200289524206
mp-30239,Sr3(BS3)2,Monoclinic,C2/c,True,0.0,-1.6674627775757571,11.0,-18.221895812948496,-18.16181733398618,-18.1097594995935,-18.054904044064756,-17.99132804942817,-17.84784932506306,-17.38642259222558,-16.90738883186834,-16.40757374373213,-15.897043961803057,-15.375483163619116,-14.842746734003097,-14.29882709440603,-13.712945144178462,-12.896367896438669,-12.072179342762556,-11.24037899336215
mp-1218367,Sr3CaS4,Orthorhombic,Cmmm,False,0.013875813750001242,-2.4134082164062516,8.0,-19.10172542586379,-19.023799792304512,-18.949372653688307,-18.870829446344977,-18.782889196855134,-18.638117391802865,-18.278679615328134,-17.901112961164507,-17.496152702449976,-17.080269447843634,-16.65464212484531,-16.219342128855143,-15.774517528361995,-15.289498202989835,-14.55456816493625,-13.74861020937676,-12.93774834234383
mp-1218560,Sr3PbS4,Orthorhombic,Pmmm,False,0.0,-1.9908093099999982,8.0,-15.763946762928336,-15.69646852944039,-15.632475317298589,-15.55627565968716,-15.472008700303377,-15.331617030980834,-14.977365733190698,-14.606049971869304,-14.215074450636065,-13.814910918223669,-13.40550909551951,-12.986907212146672,-12.559217061525352,-12.091735357502444,-11.39577114207292,-10.694436883418476,-9.987738538133826
mp-29295,Sr3Sb4S9,Orthorhombic,Pna2_1,True,0.0,-1.259023804843749,16.0,-20.025946815414397,-19.939267446129815,-19.859446185039946,-19.772553588693047,-19.670778396885602,-19.448910078925046,-18.661195334002876,-17.847673162769603,-17.008550702681184,-16.153773368599477,-15.282999632200301,-14.396116804157508,-13.49319041565515,-12.543522812871775,-11.358497691032237,-10.252775494609978,-8.875245682526945
mp-1208730,Sr3Sn2S7,Orthorhombic,Pbam,False,0.007990279999988914,-1.4539315603906264,12.0,-17.25147170290171,-17.155556959747273,-17.03506097004544,-16.906520638355673,-16.766207384271148,-16.532419611270086,-15.927620081218253,-15.304375226548917,-14.659539887320925,-14.003215115663735,-13.335122870739188,-12.655156222742384,-11.963346052973233,-11.228953802622346,-10.263275832526425,-9.289441227400864,-8.307476541456804
mp-1218843,Sr3V5S11,Monoclinic,C2/c,False,0.07533640684209697,-1.5590614319736842,19.0,-29.376948896843857,-29.245911300328792,-29.12208129230816,-28.989398432896625,-28.839084078150833,-28.54367455300241,-27.665296070501526,-26.763763949465556,-25.83485598404084,-24.887920734694013,-23.922114323589895,-22.936910092593145,-21.932035514076134,-20.876522270780807,-19.581497487934943,-18.26993743562933,-16.94173512795789
mp-16061,Sr6Sb6S17,Orthorhombic,P2_12_12_1,True,0.0,-1.336372016120688,29.0,-38.56470485007381,-38.40875228636941,-38.26331316549668,-38.103887767167635,-37.916754778625524,-37.50358926363526,-36.05718316548678,-34.56397798179313,-33.02275835787855,-31.453511900129694,-29.855582698009663,-28.228734923371988,-26.573061991328224,-24.82712055528303,-22.61360965471104,-20.51605287913756,-18.007771168267247
mp-1218330,SrCaS2,Tetragonal,P4/mmm,False,0.029460062500000106,-2.40059862390625,4.0,-9.518047487424122,-9.483859006283005,-9.451452420175226,-9.416941678545156,-9.37708050103642,-9.308946573160057,-9.133208114772755,-8.949818390573078,-8.751133170000426,-8.546579652497567,-8.337331848635168,-8.123413018946902,-7.904886833371867,-7.671549081076863,-7.339481292439076,-6.938832228885206,-6.535732764240413
