,MP_id,composition,composition_reduced,"formation_energy_per_atom, MP","Ef(MEGNET), eV/atom",error,Ef_megnet_corrected,Absolute_error,,
213,mp-7786,Cs1 Cu3 S2,Cs1 Cu3 S2,-0.613702628,-0.83879024,0.225087612,-0.71879024,0.105087612,,
214,mp-1194246,Nb8 Ni4 S16,Nb2 Ni1 S4,-0.971311128,-1.1642563,0.192945172,-1.0442563,0.072945172,,
215,mp-18568,Na8 Ge8 S20,Na2 Ge2 S5,-0.951778607,-1.0719078,0.120129193,-0.9519078,0.000129193,,
216,mp-1087532,Cs2 Lu2 S4,Cs1 Lu1 S2,-2.051941313,-2.1536825,0.101741187,-2.0336825,0.018258813,,
217,mp-10246,Na4 Pt2 S4,Na2 Pt1 S2,-1.028251837,-1.1447828,0.116530963,-1.0247828,0.003469037,,
218,mp-557672,Ga16 Pb16 S40,Ga2 Pb2 S5,-0.902708673,-1.0073342,0.104625527,-0.8873342,0.015374473,,
219,mp-1226651,Cs6 Sb10 S18,Cs3 Sb5 S9,-0.70337676,-0.95382416,0.2504474,-0.83382416,0.1304474,,
220,mp-510243,Eu4 B8 S16,Eu1 B2 S4,-1.205792357,-1.3260124,0.120220043,-1.2060124,0.000220043,,
221,mp-29090,Rb8 Au12 S10,Rb4 Au6 S5,-0.817228158,-0.8864267,0.069198542,-0.7664267,0.050801458,,
222,mp-1216903,Ti1 Cr1 S2,Ti1 Cr1 S2,-1.199516032,-1.2916917,0.092175668,-1.1716917,0.027824332,,
223,mp-555044,Dy4 Cu4 S8,Dy1 Cu1 S2,-1.593087256,-1.7317288,0.138641544,-1.6117288,0.018641544,,
224,mp-1147618,K12 Zn2 S8,K6 Zn1 S4,-1.266351713,-1.3319663,0.065614587,-1.2119663,0.054385413,,
225,mp-1217175,Ti5 Cu2 S10,Ti5 Cu2 S10,-1.436263879,-1.5734403,0.137176421,-1.4534403,0.017176421,,
226,mp-1078537,Pr2 Lu2 S6,Pr1 Lu1 S3,-2.391086762,-2.4936566,0.102569838,-2.3736566,0.017430162,,
227,mp-541895,Na8 Re12 S24,Na2 Re3 S6,-0.992927088,-1.108236,0.115308912,-0.988236,0.004691088,,
228,mp-1337045,Ca2 Fe4 S10,Ca1 Fe2 S5,-0.852082042,-1.0374506,0.185368558,-0.9174506,0.065368558,,
229,mp-5193,Sr4 Zr4 S12,Sr1 Zr1 S3,-2.077214804,-2.1848023,0.107587496,-2.0648023,0.012412504,,
230,mp-1190364,Li8 Sn4 S12,Li2 Sn1 S3,-1.131851622,-1.2188958,0.087044178,-1.0988958,0.032955822,,
231,mp-767553,Li28 Sb8 S4,Li7 Sb2 S1,-0.823478152,-0.84869325,0.025215098,-0.72869325,0.094784902,,
232,mp-37183,Sr2 Gd4 S8,Sr1 Gd2 S4,-2.336525707,-2.4891539,0.152628193,-2.3691539,0.032628193,,
233,mp-14089,Tl2 Cu2 S4,Tl1 Cu1 S2,-0.471226566,-0.6202541,0.149027534,-0.5002541,0.029027534,,
234,mp-1197880,Er8 Ag8 S16,Er1 Ag1 S2,-1.557108274,-1.6342434,0.077135126,-1.5142434,0.042864874,,
235,mp-17980,K8 Mo4 S16,K2 Mo1 S4,-1.108230577,-1.3228675,0.214636923,-1.2028675,0.094636923,,
236,mp-1096842,Ba6 Sn2 S10,Ba3 Sn1 S5,-1.800307834,-1.9160193,0.115711466,-1.7960193,0.004288534,,
237,mp-1218002,Ta2 Mo1 S6,Ta2 Mo1 S6,-1.302854133,-1.4326414,0.129787267,-1.3126414,0.009787267,,
238,mp-19804,In2 Co3 S2,In2 Co3 S2,-0.321274862,-0.53826475,0.216989888,-0.41826475,0.096989888,,
239,mp-21964,Tl4 Cu28 S16,Tl1 Cu7 S4,-0.327291723,-0.41431955,0.087027827,-0.29431955,0.032972173,,
240,mp-561511,Fe4 As4 S4,Fe1 As1 S1,-0.61334042,-0.7037938,0.09045338,-0.5837938,0.02954662,,
241,mp-774745,Li12 Cu4 S12,Li3 Cu1 S3,-0.981519534,-1.1169647,0.135445166,-0.9969647,0.015445166,,
242,mp-1208432,Ta6 Mn2 S12,Ta3 Mn1 S6,-1.313102151,-1.4499036,0.136801449,-1.3299036,0.016801449,,
243,mp-1225337,Dy4 Mn1 S7,Dy4 Mn1 S7,-2.156988413,-2.1997492,0.042760787,-2.0797492,0.077239213,,
244,mp-7295,Rb1 Cr5 S8,Rb1 Cr5 S8,-1.089600407,-1.1690336,0.079433193,-1.0490336,0.040566807,,
245,mp-754052,Li3 Fe4 S6,Li3 Fe4 S6,-0.83242109,-0.9673821,0.13496101,-0.8473821,0.01496101,,
246,mp-1215520,Zn2 Ge1 S3,Zn2 Ge1 S3,-0.75686169,-0.8795855,0.12272381,-0.7595855,0.00272381,,
247,mp-1102762,Sm4 As4 S4,Sm1 As1 S1,-1.731975212,-1.7991652,0.067189988,-1.6791652,0.052810012,,
248,mp-1232071,Nd16 Mg8 S32,Nd2 Mg1 S4,-2.112752422,-2.2269993,0.114246878,-2.1069993,0.005753122,,
249,mp-1188392,Li4 In4 S8,Li1 In1 S2,-1.127242539,-1.2799832,0.152740661,-1.1599832,0.032740661,,
250,mp-1105549,Ba4 Hf4 S12,Ba1 Hf1 S3,-2.139200686,-2.2384613,0.099260614,-2.1184613,0.020739386,,
251,mp-37070,Pr4 Sm2 S8,Pr2 Sm1 S4,-2.291501157,-2.4163005,0.124799343,-2.2963005,0.004799343,,
252,mp-1103889,Eu2 Al4 S8,Eu1 Al2 S4,-1.655673241,-1.8139333,0.158260059,-1.6939333,0.038260059,,
253,mp-1247747,Ta1 Cr3 S8,Ta1 Cr3 S8,-1.000188341,-1.1206648,0.120476459,-1.0006648,0.000476459,,
254,mp-10953,Sc4 Cd2 S8,Sc2 Cd1 S4,-1.793571593,-1.9594333,0.165861707,-1.8394333,0.045861707,,
255,mp-9368,Rb1 Tm1 S2,Rb1 Tm1 S2,-2.092241661,-2.1808932,0.088651539,-2.0608932,0.031348461,,
256,mp-616544,Rb2 Cr6 S10,Rb1 Cr3 S5,-1.109504842,-1.19012,0.080615158,-1.07012,0.039384842,,
257,mp-1238817,Li2 Cr4 S8,Li1 Cr2 S4,-1.092606321,-1.1953425,0.102736179,-1.0753425,0.017263821,,
258,mp-15999,Li6 Au2 S4,Li3 Au1 S2,-1.188375173,-1.2626309,0.074255727,-1.1426309,0.045744273,,
259,mp-28383,K4 Na4 S4,K1 Na1 S1,-1.285518808,-1.2929579,0.007439092,-1.1729579,0.112560908,,
260,mp-1018632,Ho1 Cu2 S2,Ho1 Cu2 S2,-0.965272918,-1.2208989,0.255625982,-1.1008989,0.135625982,,
261,mp-1106183,Li4 Al4 S8,Li1 Al1 S2,-1.475958337,-1.6458576,0.169899263,-1.5258576,0.049899263,,
262,mp-1104162,Mn4 Zn2 S8,Mn2 Zn1 S4,-0.910286642,-1.0162596,0.105972958,-0.8962596,0.014027042,,
263,mp-686094,Ti36 Cu12 S72,Ti3 Cu1 S6,-1.485946756,-1.5816267,0.095679944,-1.4616267,0.024320056,,
264,mp-557655,Gd1 Tl1 S2,Gd1 Tl1 S2,-1.732895615,-1.8598098,0.126914185,-1.7398098,0.006914185,,
265,mp-6959,Ga2 Ni1 S4,Ga2 Ni1 S4,-0.824087642,-0.9309543,0.106866658,-0.8109543,0.013133342,,
266,mp-1096832,Al8 Zn2 S14,Al4 Zn1 S7,-1.15394405,-1.3874466,0.23350255,-1.2674466,0.11350255,,
267,mp-4123,Er1 Tl1 S2,Er1 Tl1 S2,-1.73406794,-1.8927246,0.15865666,-1.7727246,0.03865666,,
268,mp-1248520,Al20 Bi12 S48,Al5 Bi3 S12,-0.973443429,-1.0543355,0.080892071,-0.9343355,0.039107929,,
269,mp-22332,Ta1 In1 S2,Ta1 In1 S2,-1.10424949,-1.2067989,0.10254941,-1.0867989,0.01745059,,
270,mp-630328,Ba12 Fe4 S20,Ba3 Fe1 S5,-1.761267767,-1.8541195,0.092851733,-1.7341195,0.027148267,,
271,mp-1191745,Sm8 Ni2 S14,Sm4 Ni1 S7,-1.918912605,-2.0773952,0.158482595,-1.9573952,0.038482595,,
272,mp-1216058,Y2 Te1 S2,Y2 Te1 S2,-2.132069582,-2.15509,0.023020418,-2.03509,0.096979582,,
274,mp-1222528,Lu2 Cu6 S6,Lu1 Cu3 S3,-0.989806564,-1.1238343,0.134027736,-1.0038343,0.014027736,,
275,mp-20708,In2 Ni3 S2,In2 Ni3 S2,-0.54809964,-0.58290714,0.0348075,-0.46290714,0.0851925,,
276,mp-622086,La8 Ge4 S20,La2 Ge1 S5,-1.83345575,-1.9320962,0.09864045,-1.8120962,0.02135955,,
277,mp-27660,Ba1 Fe2 S4,Ba1 Fe2 S4,-1.149749231,-1.2335384,0.083789169,-1.1135384,0.036210831,,
278,mp-1221502,Mn1 Zn1 S2,Mn1 Zn1 S2,-1.021535609,-1.0033102,-0.018225409,-0.8833102,0.138225409,,
279,mp-5928,Al2 Cd1 S4,Al2 Cd1 S4,-1.14668341,-1.3507705,0.20408709,-1.2307705,0.08408709,,
280,mp-1103471,La4 As4 S4,La1 As1 S1,-1.900869981,-1.8905447,-0.010325281,-1.7705447,0.130325281,,
281,mp-1215447,Zn1 Hg1 S2,Zn1 Hg1 S2,-0.678704489,-0.8052139,0.126509411,-0.6852139,0.006509411,,
282,mp-1443364,Zn2 Ni4 S8,Zn1 Ni2 S4,-0.649955033,-0.8148502,0.164895167,-0.6948502,0.044895167,,
285,mp-1189296,Ce4 B4 S12,Ce1 B1 S3,-1.517305853,-1.6345311,0.117225247,-1.5145311,0.002774753,,
286,mp-1222003,Mg1 Cd1 S2,Mg1 Cd1 S2,-1.16627863,-1.3021079,0.13582927,-1.1821079,0.01582927,,
