,MP_id,composition,composition_reduced,"formation_energy_per_atom, MP","Ef(MEGNET), eV/atom",error,Ef_megnet_corrected,Absolute_error
60,mp-541447,K12 Fe8 S16,K3 Fe2 S4,-0.904181758,-1.1655923,0.2614105419999999,-1.0455923,141.41054200000002
61,mp-1196123,Nd8 Hf4 S20,Nd2 Hf1 S5,-2.186686634,-2.3293717,0.14268506599999986,-2.2093716999999997,22.685065999999754
62,mp-1103410,Bi6 Te4 S2,Bi3 Te2 S1,-0.436967077,-0.4576754,0.02070832300000003,-0.3376754,99.29167699999996
64,mp-1238827,Cr4 Ag2 S8,Cr2 Ag1 S4,-0.83287382,-0.9822997,0.14942588,-0.8622997,29.425880000000014
65,mp-28134,Ba16 As16 S40,Ba2 As2 S5,-1.368440025,-1.4410787,0.0726386750000001,-1.3210787000000002,47.36132499999979
66,mp-13993,Ti3 Ni1 S6,Ti3 Ni1 S6,-1.493373888,-1.6217333,0.128359412,-1.5017333000000002,8.359412000000122
67,mp-685513,Pr24 Mn4 S40,Pr6 Mn1 S10,-2.1721191,-2.2301295,0.058010399999999684,-2.1101294999999998,61.98960000000042
68,mp-1101049,Ti5 Tl1 S8,Ti5 Tl1 S8,-1.598436031,-1.6978139,0.09937786900000001,-1.5778139000000002,20.622130999999875
69,mp-1224757,In16 Bi12 S40,In4 Bi3 S10,-0.741475463,-0.8437144,0.10223893699999997,-0.7237144,17.76106300000002
70,mp-1926096,Al2 Fe4 S8,Al1 Fe2 S4,-0.847645239,-0.9542277,0.10658246100000002,-0.8342277,13.417538999999978
71,mp-756187,Li4 Fe2 S4,Li2 Fe1 S2,-1.088722242,-1.1900434,0.10132115799999997,-1.0700433999999999,18.678842000000138
72,mp-755664,Li4 Ta6 S12,Li2 Ta3 S6,-1.523826133,-1.6223253,0.09849916699999994,-1.5023252999999999,21.500833000000164
73,mp-1224971,Fe1 Co1 S2,Fe1 Co1 S2,-0.507244291,-0.6040985,0.09685420899999997,-0.4840985,23.145791000000028
74,mp-767409,Li5 Sb1 S1,Li5 Sb1 S1,-0.983972498,-1.0218076,0.037835102000000065,-0.9018076,82.16489799999994
75,mp-5481,Na12 Co2 S8,Na6 Co1 S4,-1.073648743,-1.1459111,0.07226235700000005,-1.0259111,47.73764299999983
76,mp-1220141,Ni16 Bi16 S2,Ni8 Bi8 S1,-0.15711847,-0.17312106,0.016002589999999983,-0.05312106,103.99741000000002
77,mp-15782,K1 Pr1 S2,K1 Pr1 S2,-2.111293943,-2.178193,0.06689905699999965,-2.0581929999999997,53.100943000000456
78,mp-2210635,Mg1 Mn1 S2,Mg1 Mn1 S2,-1.086558794,-1.2021002,0.11554140599999996,-1.0821002000000002,4.458593999999927
79,mp-8630,Sb4 Ir4 S4,Sb1 Ir1 S1,-0.593002124,-0.6922434,0.09924127599999999,-0.5722434,20.758724000000008
80,mp-20767,Fe4 Sb8 S16,Fe1 Sb2 S4,-0.494868819,-0.61985135,0.12498253100000001,-0.49985135,4.982531000000012
81,mp-1227486,Bi4 Sb4 S12,Bi1 Sb1 S3,-0.603994315,-0.7069636,0.10296928500000002,-0.5869636,17.030714999999972
82,mp-20775,Ce4 Dy4 S12,Ce1 Dy1 S3,-2.4036576,-2.4667244,0.06306680000000009,-2.3467244,56.933200000000014
83,mp-542596,Hg4 Sb16 S32,Hg1 Sb4 S8,-0.520913272,-0.59478027,0.07386699799999996,-0.47478027,46.13300200000003
85,mp-642190,Ni6 Bi4 S4,Ni3 Bi2 S2,-0.457811594,-0.54026264,0.08245104600000003,-0.42026264,37.548953999999966
86,mp-1188689,Nd2 Y6 S12,Nd1 Y3 S6,-2.399530016,-2.5046716,0.10514158400000007,-2.3846716,14.858416000000041
87,mp-1193767,Hf18 W8 S2,Hf9 W4 S1,-0.313783708,-0.3414295,0.027645792000000002,-0.2214295,92.354208
88,mp-1024069,Na4 Zn6 S8,Na2 Zn3 S4,-1.00556495,-1.1408819,0.13531695,-1.0208819,15.316950000000107
89,mp-5694,Na1 Ho1 S2,Na1 Ho1 S2,-2.134603063,-2.196968,0.0623649369999999,-2.076968,57.63506300000021
90,mp-1101752,Pr4 As4 S4,Pr1 As1 S1,-1.717031261,-1.7888124,0.07178113900000005,-1.6688124000000002,48.21886099999983
91,mp-558967,K12 Ta8 S44,K3 Ta2 S11,-1.190958906,-1.3330183,0.1420593939999999,-1.2130182999999999,22.059393999999788
92,mp-1223529,K1 Cu7 S4,K1 Cu7 S4,-0.452629962,-0.51780766,0.065177698,-0.39780766,54.822301999999986
93,mp-1220620,Nb3 W1 S8,Nb3 W1 S8,-1.281164308,-1.3527944,0.07163009200000015,-1.2327944,48.36990799999996
94,mp-1219601,Sb1 Pb3 S4,Sb1 Pb3 S4,-0.598754217,-0.77559423,0.17684001300000007,-0.6555942300000001,56.84001300000008
95,mp-504951,In6 Ga6 S18,In1 Ga1 S3,-0.779560963,-1.047574,0.268013037,-0.927574,148.01303700000003
96,mp-1078726,Cs2 Ho2 S4,Cs1 Ho1 S2,-2.119185275,-2.187675,0.06848972500000006,-2.067675,51.51027500000005
97,mp-1193583,Ba4 Ho8 S16,Ba1 Ho2 S4,-2.419589662,-2.5296772,0.11008753800000015,-2.4096772,9.912461999999955
98,mp-12455,Tm4 Cu4 S8,Tm1 Cu1 S2,-1.590929365,-1.7142859,0.12335653499999988,-1.5942859,3.356534999999994
99,mp-1179796,Rb4 Co6 S8,Rb2 Co3 S4,-0.851017321,-0.987857,0.13683967899999994,-0.867857,16.83967899999994
100,mp-12843,S8 Cu4 Y4,S2 Cu1 Y1,-1.590693927,-1.7302217,0.13952777299999997,-1.6102216999999999,19.52777299999986
