MP_id,composition,composition_reduced,"formation_energy_per_atom, MP","Ef(MEGNET), eV/atom"
mp-674493,In4 Ni2 S8,In2 Ni1 S4,-0.698516274,-0.7871862
mp-18344,Ta4 Tl8 S22,Ta2 Tl4 S11,-0.891767397,-1.0046997
mp-1226846,Cd5 Te4 S1,Cd5 Te4 S1,-0.561178367,-0.52858776
mp-1775070,Mg2 Ni4 S8,Mg1 Ni2 S4,-0.76158217,-0.88355744
mp-1045420,Mg2 Ti4 S8,Mg1 Ti2 S4,-1.615856746,-1.7451712
mp-1002123,K1 Zr1 S2,K1 Zr1 S2,-1.738656963,-1.939675
mp-685555,Hg36 As36 S72,Hg1 As1 S2,-0.269914548,-0.40647396
mp-5614,Li12 B4 S12,Li3 B1 S3,-1.252635223,-1.2708594
mp-675383,Li6 Mo12 S16,Li3 Mo6 S8,-1.014978433,-1.1906089
mp-1217039,V4 Cr5 S10,V4 Cr5 S10,-0.975285282,-1.0678153
mp-675925,Ce4 Pb2 S8,Ce2 Pb1 S4,-1.837602764,-1.9330661
mp-1216724,V1 Fe2 S4,V1 Fe2 S4,-0.901403243,-0.98923385
mp-1199685,Cu8 Re12 S24,Cu2 Re3 S6,-0.646466796,-0.761348
mp-1194376,Ba4 Sm8 S16,Ba1 Sm2 S4,-2.397213271,-2.5045216
mp-1193989,Sr4 Tb8 S16,Sr1 Tb2 S4,-2.436427441,-2.5229275
mp-1443978,Mg1 Mn4 S8,Mg1 Mn4 S8,-0.992534163,-1.0712216
mp-4988,Tl8 As8 S16,Tl1 As1 S2,-0.510845626,-0.651834
mp-866503,Ca8 Sn4 S16,Ca2 Sn1 S4,-1.677767615,-1.7606742
mp-20793,Ga2 Fe1 S4,Ga2 Fe1 S4,-0.807370899,-0.8790511
mp-1226065,Co1 Ni5 S8,Co1 Ni5 S8,-0.65757244,-0.77006567
mp-1008876,Mn1 Co1 S1,Mn1 Co1 S1,-0.211648407,-0.25376186
mp-1202720,Cs16 Te8 S24,Cs2 Te1 S3,-0.991699268,-1.0761163
mp-601861,Rb8 In8 S16,Rb1 In1 S2,-1.192810585,-1.2672299
mp-541638,K8 Re12 S24,K2 Re3 S6,-1.057542475,-1.179759
mp-767525,Li6 Sb1 S2,Li6 Sb1 S2,-1.150535365,-1.1888653
mp-1198001,Dy8 Hf4 S20,Dy2 Hf1 S5,-2.160668527,-2.3040838
mp-20784,Ta6 Pb2 S12,Ta3 Pb1 S6,-1.342249945,-1.4429617
mp-1217283,Te1 Pb2 S1,Te1 Pb2 S1,-0.677617217,-0.6344478
mp-1195469,Ba8 Ge8 S24,Ba1 Ge1 S3,-1.432722363,-1.537636
mp-561407,Rb8 Ga8 S16,Rb1 Ga1 S2,-1.295415736,-1.3694481
mp-1220537,Nb4 Ge1 S8,Nb4 Ge1 S8,-1.180887977,-1.2901671
mp-1407214,Mg2 V4 S8,Mg1 V2 S4,-1.267229385,-1.3598235
mp-37496,Na1 Ce5 S8,Na1 Ce5 S8,-2.304744784,-2.3195968
mp-1045335,Y2 V4 S8,Y1 V2 S4,-1.440883004,-1.5835055
mp-1222722,Li1 Zr2 S4,Li1 Zr2 S4,-1.828440762,-1.9616044
mp-16992,Na4 Ag12 S8,Na1 Ag3 S2,-0.453167292,-0.57794976
mp-1217143,Ti3 Ag1 S6,Ti3 Ag1 S6,-1.448613096,-1.5474344
mp-7786,Cs1 Cu3 S2,Cs1 Cu3 S2,-0.613702628,-0.83879024
mp-1194246,Nb8 Ni4 S16,Nb2 Ni1 S4,-0.971311128,-1.1642563
mp-18568,Na8 Ge8 S20,Na2 Ge2 S5,-0.951778607,-1.0719078
mp-1087532,Cs2 Lu2 S4,Cs1 Lu1 S2,-2.051941313,-2.1536825
mp-10246,Na4 Pt2 S4,Na2 Pt1 S2,-1.028251837,-1.1447828
mp-557672,Ga16 Pb16 S40,Ga2 Pb2 S5,-0.902708673,-1.0073342
mp-1226651,Cs6 Sb10 S18,Cs3 Sb5 S9,-0.70337676,-0.95382416
mp-510243,Eu4 B8 S16,Eu1 B2 S4,-1.205792357,-1.3260124
mp-29090,Rb8 Au12 S10,Rb4 Au6 S5,-0.817228158,-0.8864267
mp-1216903,Ti1 Cr1 S2,Ti1 Cr1 S2,-1.199516032,-1.2916917
mp-555044,Dy4 Cu4 S8,Dy1 Cu1 S2,-1.593087256,-1.7317288
mp-1147618,K12 Zn2 S8,K6 Zn1 S4,-1.266351713,-1.3319663
