,MP_id,composition,composition_reduced,"formation_energy_per_atom, MP","Ef(MEGNET), eV/atom",error,Ef_megnet_corrected,Absolute_error,Hd_MP,Hd_MEGNET
0,mp-10167,Na3 Sb1 S4,Na3 Sb1 S4,-0.922581069,-1.1031018,0.180520731,-0.9831018,0.060520731,0.006705474,0.031746081
1,mp-18309,Ba8 Cd4 S12,Ba2 Cd1 S3,-1.849119346,-1.9380214,0.088902054,-1.8180214,0.031097946,-0.008288219,0.029951316
2,mp-1218062,Ta3 W1 S8,Ta3 W1 S8,-1.305321244,-1.4244161,0.119094856,-1.3044161,0.000905144,0.017457645,0.021923401
3,mp-1226019,Co5 Ni1 S8,Co5 Ni1 S8,-0.729589524,-0.801447,0.071857476,-0.681447,0.048142524,-0.000159502,0.058038181
4,mp-1103098,Bi4 Rh4 S4,Bi1 Rh1 S1,-0.577471907,-0.6662292,0.088757293,-0.5462292,0.031242707,-0.036349674,-0.020985459
5,mp-5546,Cu16 Ge2 S12,Cu8 Ge1 S6,-0.366766826,-0.46274698,0.095980154,-0.34274698,0.024019846,0.044197865,0.068981591
6,mp-16684,Pr4 Cu4 S8,Pr1 Cu1 S2,-1.592968757,-1.7434281,0.150459343,-1.6234281,0.030459343,-0.037567323,-0.036653099
7,mp-18101,K8 Cd12 S16,K2 Cd3 S4,-1.008943851,-1.1425558,0.133611949,-1.0225558,0.013611949,-0.064126534,-0.025766554
8,mp-1446023,Zn1 Fe4 S8,Zn1 Fe4 S8,-0.634408972,-0.74687755,0.112468578,-0.62687755,0.007531422,0.2317291,0.240435722
9,mp-1228522,Al4 Zn4 S10,Al2 Zn2 S5,-1.126659506,-1.338595,0.211935494,-1.218595,0.091935494,0.013899447,0.029664746
10,mp-1410970,Ti4 Zn2 S8,Ti2 Zn1 S4,-1.47338023,-1.6108528,0.13747257,-1.4908528,0.01747257,0.048440289,0.032058976
11,mp-5942,Na4 As4 S8,Na1 As1 S2,-0.707075465,-0.96336985,0.256294385,-0.84336985,0.136294385,-0.048928669,-0.043127098
12,mp-28856,Na28 Au20 S24,Na7 Au5 S6,-0.905676583,-0.9808456,0.075169017,-0.8608456,0.044830983,0.002691108,0.055623569
13,mp-1221529,Mn2 Zn2 S8,Mn1 Zn1 S4,-0.649687342,-0.8806498,0.230962458,-0.7606498,0.110962458,0.070483134,0.038487597
14,mp-675590,Cu6 Bi1 S6,Cu6 Bi1 S6,-0.397421729,-0.49848145,0.101059721,-0.37848145,0.018940279,0.044254954,0.060265466
15,mp-1209063,Re4 As5 S4,Re4 As5 S4,-0.483128132,-0.5680287,0.084900568,-0.4480287,0.035099432,0.000743307,0.041766395
16,mp-608653,As16 Pb16 S40,As2 Pb2 S5,-0.579079361,-0.6646265,0.085547139,-0.5446265,0.034452861,0.004650334,0.042609501
17,mp-985304,Cr1 Ga2 S4,Cr1 Ga2 S4,-0.890696919,-1.0482866,0.157589681,-0.9282866,0.037589681,0.070409605,0.033911182
18,mp-769032,Li12 Nb4 S16,Li3 Nb1 S4,-1.395939861,-1.5027546,0.106814739,-1.3827546,0.013185261,0.001549166,0.015689276
19,mp-30958,Ca12 B24 S48,Ca1 B2 S4,-1.167237051,-1.2656868,0.098449749,-1.1456868,0.021550251,0.042626995,0.065268503
20,mp-1225724,Dy2 Cu6 S6,Dy1 Cu3 S3,-1.007664625,-1.1440525,0.136387875,-1.0240525,0.016387875,-0.009416513,0.034567042
21,mp-7936,Li2 Nb2 S4,Li1 Nb1 S2,-1.553966813,-1.6183765,0.064409687,-1.4983765,0.055590313,-0.052405773,0.00413939
22,mp-1104381,Ni2 Rh4 S8,Ni1 Rh2 S4,-0.73733214,-0.838615,0.10128286,-0.718615,0.01871714,-0.007820393,0.011988005
23,mp-561122,Gd4 Sn2 S10,Gd2 Sn1 S5,-1.636775684,-1.8502471,0.213471416,-1.7302471,0.093471416,0.013339827,0.02445105
24,mp-1193022,Nb8 Co4 S16,Nb2 Co1 S4,-0.956008752,-1.0957526,0.139743848,-0.9757526,0.019743848,0.270612143,0.255545114
25,mp-676156,Gd5 Ag1 S8,Gd5 Ag1 S8,-2.06796538,-2.224508,0.15654262,-2.104508,0.03654262,0.031075158,0.048406794
26,mp-675779,Li4 Mo6 S8,Li2 Mo3 S4,-1.072307763,-1.2087905,0.136482737,-1.0887905,0.016482737,-0.010682515,0.045467795
27,mp-1192540,Nb8 Ni2 S16,Nb4 Ni1 S8,-1.30577194,-1.3798877,0.07411576,-1.2598877,0.04588424,-0.009570702,0.037488738
28,mp-7355,Sm4 Sn2 S10,Sm2 Sn1 S5,-1.741123372,-1.8742,0.133076628,-1.7542,0.013076628,0.003524815,-0.008358251
29,mp-540773,Ca8 Ge4 S16,Ca2 Ge1 S4,-1.681674162,-1.7785248,0.096850638,-1.6585248,0.023149362,-0.026806387,-0.002565767
30,mp-1120718,Mg1 Zn3 S4,Mg1 Zn3 S4,-1.199073152,-1.2930819,0.094008748,-1.1730819,0.025991252,0.012935133,0.043654981
31,mp-1227503,Ca2 In4 S8,Ca1 In2 S4,-1.189811307,-1.3712946,0.181483293,-1.2512946,0.061483293,0.036773008,0.030694056
32,mp-1216547,Tm4 Mg1 S7,Tm4 Mg1 S7,-2.223401154,-2.3324926,0.109091446,-2.2124926,0.010908554,0.034673707,0.051434102
33,mp-1217360,Ti1 Cr2 S4,Ti1 Cr2 S4,-1.206466263,-1.3075341,0.101067837,-1.1875341,0.018932163,-0.006213968,0.013809453
34,mp-29829,Li4 Au4 S4,Li1 Au1 S1,-0.838343984,-0.94919956,0.110855576,-0.82919956,0.009144424,-0.005462406,0.055249025
35,mp-1104219,Sm2 Ga4 S8,Sm1 Ga2 S4,-1.296048595,-1.5130597,0.217011105,-1.3930597,0.097011105,0.150778924,0.054859076
36,mp-1395289,Zn2 Fe4 S8,Zn1 Fe2 S4,-0.731873702,-0.825808,0.093934298,-0.705808,0.026065702,0.150809232,0.177966191
37,mp-15790,Li1 Ho1 S2,Li1 Ho1 S2,-2.120153312,-2.2077525,0.087599188,-2.0877525,0.032400812,-0.057113064,-0.042372024
38,mp-541879,Rb8 Ge8 S20,Rb2 Ge2 S5,-1.054428829,-1.146359,0.091930171,-1.026359,0.028069829,-0.036128279,-0.006997506
39,mp-1104347,Lu1 Mo6 S8,Lu1 Mo6 S8,-0.989886605,-1.2248762,0.234989595,-1.1048762,0.114989595,0.0299336,0.06763981
40,mp-977592,Bi4 Rh6 S4,Bi2 Rh3 S2,-0.532897817,-0.6144189,0.081521083,-0.4944189,0.038478917,-0.032464677,-0.007595897
41,mp-1068941,K2 Pd1 S2,K2 Pd1 S2,-1.068325833,-1.2252151,0.156889267,-1.1052151,0.036889267,-0.050355869,-0.053000846
42,mp-1102284,Sb4 Pd4 S4,Sb1 Pd1 S1,-0.620789495,-0.84259653,0.221807035,-0.72259653,0.101807035,-0.061280116,-0.162450584
43,mp-1189323,Zr10 Sb6 S2,Zr5 Sb3 S1,-1.057587133,-1.0134298,-0.044157333,-0.8934298,0.164157333,-0.078529256,0.085840266
44,mp-867739,Nb6 Ge2 S12,Nb3 Ge1 S6,-1.282566916,-1.3051312,0.022564284,-1.1851312,0.097435716,-0.046820299,0.051761238
45,mp-1040470,Li2 Fe4 S8,Li1 Fe2 S4,-0.804695609,-0.9041168,0.099421191,-0.7841168,0.020578809,0.169935806,0.191605873
46,mp-760375,Li3 V1 S4,Li3 V1 S4,-1.359742846,-1.4411778,0.081434954,-1.3211778,0.038565046,-0.028150379,0.011369517
47,mp-1199965,Ge12 Rh8 S12,Ge3 Rh2 S3,-0.726597739,-0.838903,0.112305261,-0.718903,0.007694739,-0.10543851,-0.097027633
48,mp-1066131,Y1 Tl1 S2,Y1 Tl1 S2,-1.726999907,-1.9067869,0.179786993,-1.7867869,0.059786993,-0.064047544,-0.110017348
49,mp-22303,Rb6 In2 S6,Rb3 In1 S3,-1.256511265,-1.3120224,0.055511135,-1.1920224,0.064488865,-0.041965726,0.024411583
