,pretty_formula,crystal_system,spacegroup,experimentally_observed,"energy_above_hull, eV/atom",Ef,total_atoms,Gf_400,Gf_500,Gf_600,Gf_700,Gf_800,Gf_900,Gf_1000,Gf_1100,Gf_1200,Gf_1300,Gf_1400,Gf_1500,Gf_1600,Gf_1700,Gf_1800,Gf_1900,Gf_2000
mp-556095,Dy3S4,Cubic,I-43d,True,0.07355259214286036,-2.2864480501785716,7.0,-15.51608123203718,-15.366664222925417,-15.219692627598281,-15.069470692531866,-14.912853313509734,-14.704316791007923,-14.283635474277904,-13.8580613589954,-13.426404428319753,-12.987737033828033,-12.541305744596713,-12.086462817578013,-11.622660246238578,-11.142681693905121,-10.63266460476352,-10.11336407733631,-9.58505181584473
mp-1103125,Dy5S7,Monoclinic,C2/m,True,0.0,-2.378763759140625,12.0,-27.80041842968911,-27.566852001239965,-27.337184400866413,-27.1017878443162,-26.8553407574529,-26.5182828092364,-25.810287726967545,-25.094099690916018,-24.367683558241787,-23.629457736103582,-22.8781419553376,-22.112639494979703,-21.33202564737814,-20.524265279126446,-19.666249403079746,-18.792566916359526,-17.90366930969555
mp-2470,DyS,Cubic,Fm-3m,True,0.0,-2.247421941406248,2.0,-4.331653631873532,-4.283929368971226,-4.237197105562579,-4.189693118852028,-4.14044877454313,-4.077977004628073,-3.9621527803089753,-3.844735912667564,-3.725381510862567,-3.603815870889407,-3.4798124000648176,-3.3531723332573864,-3.2237243650521483,-3.089070955509002,-2.9445959801445696,-2.7972207388824417,-2.6470371494353238
mp-1018675,DyS2,Tetragonal,P4/nmm,True,0.07472762328125171,-1.907902401874999,3.0,-5.558241114619176,-5.503574762894291,-5.44936982596672,-5.3934579959036695,-5.334631437081596,-5.25034058599217,-5.060609849482617,-4.869171601065202,-4.675525605581815,-4.479291622618686,-4.280169406618812,-4.0779087447972415,-3.872304241450549,-3.6609346397856513,-3.439169632955184,-3.213921719634495,-2.9852787686194198
mp-2234,Er2S3,Monoclinic,P2_1/m,True,0.0,-2.365612327687499,5.0,-11.552056477834407,-11.462653501782524,-11.374440686666166,-11.283490147479116,-11.18764199718992,-11.052882405754158,-10.759160499886784,-10.462070034374033,-10.160929639240786,-9.855265708981477,-9.544742108573956,-9.229115073347435,-8.908202751123776,-8.58186479259686,-8.24884771870831,-7.888698133156313,-7.523568149754163
mp-1095508,Er5S7,Monoclinic,C2/m,True,0.0,-2.3570866226128473,12.0,-27.55750988598932,-27.327809839298254,-27.101350487294184,-26.86851441003018,-26.624021490591126,-26.288368401616278,-25.581353242070424,-24.865974117703914,-24.14060527573735,-23.40411597061142,-22.655702691207622,-21.89478174967575,-21.12091556071469,-20.333765109485633,-19.53020378952464,-18.659102510701285,-17.775843582007248
mp-1623,ErS,Cubic,Fm-3m,True,0.0,-2.1946054405729143,2.0,-4.229772435705257,-4.1828985457974905,-4.13688502870566,-4.089970234495272,-4.041193820314147,-3.979080118890339,-3.863528975758763,-3.7463509870972778,-3.6272831400767354,-3.506141900148951,-3.382796026239718,-3.2571493598404135,-3.1291280200061986,-2.998673690510501,-2.865166723006131,-2.7183848199662988,-2.569406062756089
mp-1101873,ErS2,Monoclinic,P2_1/c,True,0.026628828420140138,-1.9447147779861116,3.0,-5.676044687297072,-5.623132368278268,-5.570549837379055,-5.516130859527709,-5.458675890544949,-5.375646767658312,-5.187092772047824,-4.996797062321875,-4.804341281334485,-4.609435358128272,-4.411874398755296,-4.211510797053394,-4.008236581789266,-3.801969719883358,-3.5920763806244933,-3.3683254652376426,-3.1417910061710153
mp-1106110,Eu2S3,Orthorhombic,Pnma,True,0.098327728000001,-1.899393218166665,5.0,-9.179961598450452,-9.08080886718591,-8.983300253430457,-8.883584568037334,-8.779591057000939,-8.637403314746988,-8.33706789246055,-8.033861397184697,-7.723389964774224,-7.408753602202191,-7.0897861490539,-6.7664034509606825,-6.438581193185456,-6.1063324181410135,-5.560085255309179,-5.024294843393568,-4.485478741613504
mp-1103738,Eu3S4,Cubic,I-43d,True,0.0,-2.140415299464284,7.0,-14.494844215629254,-14.346162647623762,-14.200212548230088,-14.051419426296684,-13.896796751478721,-13.69100116316502,-13.274027770310623,-12.852805202264884,-12.420820334968406,-11.982776447085374,-11.538461124430617,-11.087773859277902,-10.630695224665825,-10.167256642640076,-9.383107398605379,-8.614934601241279,-7.842516613835198
mp-20587,EuS,Cubic,Fm-3m,True,0.0,-2.4620848664062507,2.0,-4.771231383113235,-4.726232556006939,-4.68232108000336,-4.6377736530977325,-4.59167449895081,-4.532596662525705,-4.420488701592397,-4.30700263845716,-4.190019213205803,-4.071141697529456,-3.950323837657637,-3.8275492802327844,-3.7028229130305834,-3.576163115683924,-3.3427910441157103,-3.1149386683018694,-2.8858667923105017
