,Limiting_reaction,Name,delta_H,dGr_lim
3630,II step,Nb(AlS2)2/NbAl2S5,0.0305817129999999,0.22554028799999948
7844,I step,Hg3RuS4/Hg3RuS8,0.005537271999999982,0.22562049824999997
5602,I step,TaAg2S3/TaAg2S5,0.12239319100000001,0.2256368980000003
5807,II step,Tl2V2S5/TlVS4,0.08946228,0.2256922320000001
1674,II step,YRhS2/Y2Rh2S5,0.10559606599999993,0.22573081200000011
9366,II step,MnWS3/MnWS6,0.15418875200000004,0.22586283233333337
2128,II step,RbTlS2/RbTlS4,0.08065462199999995,0.2259723079999999
6020,I step,Ga(BiS2)2/GaBi2S5,0.050180137000000014,0.22620306299999982
3911,II step,MgTe3S4/MgTe3S8,-0.0030343529999999896,0.22622857175
5658,I step,Cr4RhS8/Cr4RhS10,0.09759569099999998,0.22628705800000048
2109,I step,RbHgS/Rb2Hg2S3,0.057268918,0.2264291570000001
7647,II step,NaTaS2/NaTaS4,0.29593706099999983,0.22654038900000018
638,II step,CdNi3S4/CdNi3S8,0.00962877299999998,0.2266040465000001
883,I step,TiHgS3/TiHgS6,0.3129758840000001,0.2266059140000003
3216,I step,Ge2PdS4/Ge2PdS5,0.058271229000000035,0.22663381600000054
5709,II step,MnNiS/MnNiS6,-0.03476238300000001,0.22663455059999998
1958,I step,Cd(PtS2)2/Cd(PtS3)2,0.10819858299999996,0.2268393165
7205,II step,Cu(AuS)4/Cu(AuS2)4,-0.08652436699999999,0.22693924225
3644,II step,ZrCuS2/ZrCuS6,0.40921676099999993,0.22695463425000018
1377,I step,InGa2S3/InGa2S5,0.15933919000000007,0.22708413200000033
6389,II step,InPd2S3/InPd2S5,0.07053273900000001,0.22713817749999987
2358,II step,NbHgS2/NbHgS6,0.228604555,0.227231332
9830,II step,Tl2AsS2/Tl2AsS5,-0.010261713999999977,0.22730739833333335
1301,II step,K2Ir2S5/KIrS4,0.09778964499999998,0.22739252566666668
482,II step,Cu4Ru2S7/Cu2RuS5,-0.042480587999999986,0.22739424666666652
7930,II step,RbSbS2/RbSbS3,0.10370671799999998,0.22741809099999966
490,II step,RbAgS/RbAgS3,0.12984514300000005,0.22752838949999998
9184,I step,InAsS2/InAsS4,0.1862961649999999,0.22759675350000008
9632,II step,Ni3Au3S8/NiAuS4,-0.016061364999999994,0.2276249415
5757,I step,AlBiS2/AlBiS6,0.34947943699999995,0.2277013724999999
4001,I step,Ni3Pt3S8/NiPtS3,0.04436367699999999,0.2277160330000001
4509,II step,Cs2Co2S5/Cs2Co2S9,0.127845526,0.22775274150000002
1758,I step,Zr2Tl2S5/Zr2Tl2S9,0.380650162,0.22784401050000014
5926,II step,HgSbS2/HgSbS4,-0.012615680000000018,0.22787197350000002
1914,II step,In4NiS6/In4NiS8,0.00833708100000008,0.22815326999999996
9240,II step,NiSbS2/NiSbS4,-0.02293735699999999,0.228243101
9472,I step,Na3CoS3/Na3CoS4,0.06821894599999989,0.22826126600000052
538,II step,Cs2Hg2S3/CsHgS2,-0.013837635000000015,0.22828837199999996
4631,II step,NiGeS2/NiGeS4,-0.011483788999999911,0.22830412350000007
7388,I step,YMnS2/YMnS6,0.698328614,0.22849236925000005
5802,II step,Te2PbS5/Te2PbS6,-0.01472186999999997,0.22850040199999988
6933,II step,Pd(PtS2)2/Pd(PtS3)2,0.013252497000000085,0.22851261300000014
9310,II step,Cs2Mo2S5/CsMoS6,0.289126039,0.22855277285714282
4262,II step,NaCuS/Na2Cu2S3,0.04083156599999993,0.2285648969999996
5075,I step,Mn(PbS2)2/MnPb2S5,0.055746138000000056,0.22861327200000048
7561,I step,K2Ge2S7/KGeS4,0.03933310499999998,0.2286434909999997
2486,II step,Tl2Pd2S3/TlPdS3,0.03936040399999996,0.22874350499999996
9800,II step,KTiS4/K2Ti2S9,0.07063341199999984,0.22883341800000068
7699,I step,NaGeS2/NaGeS4,0.17977601200000004,0.2289029345000002
2671,I step,Li2Be2S3/LiBeS3,0.29571039999999993,0.22913899366666657
1906,I step,InNiS3/InNiS4,0.025280595000000017,0.2291878070000002
5822,I step,Rb2Ge2S5/Rb2Ge2S9,0.234905362,0.22936231199999968
9229,II step,RuPbS2/RuPbS4,0.06742376100000003,0.22940141250000012
14,II step,K2Ga2S3/KGaS4,0.15701365499999997,0.2294043602
9270,II step,ZrTeS3/ZrTeS6,0.26720035100000006,0.229411649
10045,II step,CsGeS2/Cs2Ge2S5,0.022548793999999983,0.22947996999999987
5193,I step,MnCrS4/MnCrS6,0.1465175740000001,0.2295702275
4550,II step,Li2Ir2S5/LiIrS4,0.06973397700000006,0.2297683106666666
4816,I step,Cs2Ta2S9/CsTaS6,0.15851748,0.2298208233333323
484,II step,Cu3RuS4/Cu3RuS8,-0.016176522000000082,0.22982582325
8536,II step,Tc2GeS4/Tc2GeS6,0.06679451400000003,0.22989749650000002
7032,II step,Cr2IrS4/Cr2IrS6,0.06367689399999998,0.22992739399999973
5788,I step,K2Hf2S5/K2Hf2S9,0.5110399720000001,0.2299719954999997
5795,I step,TePb3S4/TePb3S5,0.05560112000000006,0.23001162300000022
3442,II step,HfSnS4/HfSnS6,0.18060016600000006,0.23008633050000027
4048,I step,LiAuS3/LiAuS6,0.07380694200000004,0.23012455966666656
2876,II step,La(AuS2)2/LaAu2S5,0.07189929400000006,0.2301253049999996
8908,II step,Hf3Mn3S8/HfMnS3,0.05698895500000001,0.23017082799999855
9968,I step,Ba3GeS5/Ba3GeS8,0.36890494799999995,0.23021990133333325
3677,II step,MgScS2/MgScS4,0.3846665619999998,0.23032506499999972
4331,I step,AlAsS3/AlAsS6,0.22421038199999999,0.23036851166666672
7394,II step,Li2Tc2S5/LiTcS3,0.04815781100000005,0.2305325370000002
5315,II step,ScAuS2/ScAuS4,0.22900652899999985,0.23054945850000008
501,I step,TeWS3/TeWS6,0.15318566600000005,0.2306780003333333
7931,II step,RbSbS2/Rb2Sb2S7,0.14046204099999993,0.2306994796666666
8332,II step,FeCuS2/FeCuS4,0.03622108700000004,0.2309931945
9771,II step,InAuS2/InAuS4,0.03406173000000001,0.23116532400000012
